AUM_usd,participation_cap,impact_coefficient,gross,mean_participation,p95_participation,p99_participation,max_participation,pct_days_above_participation_cap,naive_capacity_p50_usd,naive_capacity_p05_usd,naive_capacity_worst_day_usd,naive_long_capacity_worst_day_usd,naive_short_capacity_worst_day_usd,mean_impact_bps,total_impact_drag_ann_bps,ann_return_gross,ann_return_net,ann_sharpe_net,sharpe_decay_pct_vs_paper,htb_share_short,top10_short_concentration,borrow_feasible
5000000,0.01,0.3,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.024566473988439308,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,0.2539776126928366,64.00235839859482,0.04581473948709913,0.03914404791959125,0.43396766366314266,0.1285789886282276,0.2551332746715955,0.4865081342545344,False
5000000,0.01,0.5,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.024566473988439308,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,0.42329602115472764,106.67059733099137,0.04581473948709913,0.03472018543832034,0.39129186408221156,0.21427336529676394,0.2551332746715955,0.4865081342545344,False
5000000,0.01,1.0,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.024566473988439308,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,0.8465920423094553,213.34119466198274,0.04581473948709913,0.023741399564393806,0.28457149487548,0.42857129543076306,0.2551332746715955,0.4865081342545344,False
5000000,0.05,0.3,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.0,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,0.2539776126928366,64.00235839859482,0.04581473948709913,0.03914404791959125,0.43396766366314266,0.1285789886282276,0.2551332746715955,0.4865081342545344,False
5000000,0.05,0.5,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.0,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,0.42329602115472764,106.67059733099137,0.04581473948709913,0.03472018543832034,0.39129186408221156,0.21427336529676394,0.2551332746715955,0.4865081342545344,False
5000000,0.05,1.0,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.0,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,0.8465920423094553,213.34119466198274,0.04581473948709913,0.023741399564393806,0.28457149487548,0.42857129543076306,0.2551332746715955,0.4865081342545344,False
5000000,0.1,0.3,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.0,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,0.2539776126928366,64.00235839859482,0.04581473948709913,0.03914404791959125,0.43396766366314266,0.1285789886282276,0.2551332746715955,0.4865081342545344,False
5000000,0.1,0.5,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.0,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,0.42329602115472764,106.67059733099137,0.04581473948709913,0.03472018543832034,0.39129186408221156,0.21427336529676394,0.2551332746715955,0.4865081342545344,False
5000000,0.1,1.0,1.4049873606312526,9.326523919557292e-05,0.007041532259955603,0.016543751965770258,0.03787427121012905,0.0,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,0.8465920423094553,213.34119466198274,0.04581473948709913,0.023741399564393806,0.28457149487548,0.42857129543076306,0.2551332746715955,0.4865081342545344,False
10000000,0.01,0.3,1.4049873606312526,0.00018653047839114583,0.014083064519911205,0.033087503931540516,0.0757485424202581,0.11777456647398844,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,0.35917858440935063,90.51300327115636,0.04581473948709913,0.03639322899681119,0.4074534829419484,0.18182031537761367,0.2551332746715955,0.4865081342545344,False
10000000,0.01,0.5,1.4049873606312526,0.00018653047839114583,0.014083064519911205,0.033087503931540516,0.0757485424202581,0.11777456647398844,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,0.5986309740155844,150.85500545192727,0.04581473948709913,0.030158646636312403,0.34709067824761575,0.3030307665710527,0.2551332746715955,0.4865081342545344,False
10000000,0.01,1.0,1.4049873606312526,0.00018653047839114583,0.014083064519911205,0.033087503931540516,0.0757485424202581,0.11777456647398844,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,1.1972619480311688,301.71001090385454,0.04581473948709913,0.014733104705130229,0.1961538781099923,0.6061167106225054,0.2551332746715955,0.4865081342545344,False
10000000,0.05,0.3,1.4049873606312526,0.00018653047839114583,0.014083064519911205,0.033087503931540516,0.0757485424202581,0.003973988439306358,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,0.35917858440935063,90.51300327115636,0.04581473948709913,0.03639322899681119,0.4074534829419484,0.18182031537761367,0.2551332746715955,0.4865081342545344,False
10000000,0.05,0.5,1.4049873606312526,0.00018653047839114583,0.014083064519911205,0.033087503931540516,0.0757485424202581,0.003973988439306358,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,0.5986309740155844,150.85500545192727,0.04581473948709913,0.030158646636312403,0.34709067824761575,0.3030307665710527,0.2551332746715955,0.4865081342545344,False
10000000,0.05,1.0,1.4049873606312526,0.00018653047839114583,0.014083064519911205,0.033087503931540516,0.0757485424202581,0.003973988439306358,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,1.1972619480311688,301.71001090385454,0.04581473948709913,0.014733104705130229,0.1961538781099923,0.6061167106225054,0.2551332746715955,0.4865081342545344,False
