audit_date,ticker,participation,daily_vol,delta_weight,delta_weight_gross,impact_bps_i,cost_bps_of_nav,annualized_cost_bps
2023-06-15,__TOTAL__,0.0012541166473517562,0.017983857322482418,0.02576404367442121,0.03619815572131338,1.4252325311884486,0.28058936815556024,70.70852077520118
2023-06-15,PDD,0.001752477339819507,0.038734179219339665,0.0016676886220730637,0.0023430814354812044,8.107567396178862,0.018996690652899377,4.787166044530643
2023-06-15,ARES,0.02529839532216797,0.01909555464063324,0.0008517576305558591,0.0011967087052522061,15.186187892200246,0.018173443250191688,4.579707699048305
2023-06-15,SYF,0.01659233533231756,0.01989584648838558,0.0008429443139913381,0.001184326106873812,12.81404320090595,0.015176005897441783,3.824353486155329
2023-06-15,GNRC,0.010382684002500869,0.033405161405411755,0.0004950393205236268,0.0006955239883511791,17.019170810993646,0.011837241560892272,2.9829848733448525
2023-06-15,APO,0.019058499792501963,0.02061797114797021,0.0005684451298927709,0.0007986582227117338,14.231814936664495,0.011366356023278772,2.864321717866251
2023-06-15,MSTR,0.004334130593730277,0.049865930150663984,0.0004565845538386142,0.0006414955272027126,16.41439670347243,0.010529762067008515,2.6535000408861458
2023-06-15,KKR,0.0239692712940014,0.018828650859890418,0.000491388463794571,0.0006903945807913803,14.575270456007337,0.010062687736396176,2.5357973095718362
2023-06-15,FSLR,0.005835444522651984,0.041976640904314945,0.0003911965346119414,0.0005496261866525241,16.032995059148735,0.00881215393497868,2.220662791614627
2023-06-15,COF,0.00901490622684533,0.021331421832401443,0.0005638339571619015,0.0007921795833071748,10.126757613286804,0.0080222106263463,2.0215970778392673
2023-06-15,JBL,0.014433890968883782,0.01666550483501825,0.0005458889233290933,0.000766967037585979,10.011062862897791,0.007678155227043729,1.9348951172150197
2023-06-15,DDOG,0.0045703111988077815,0.03634916230609564,0.00044424032367369054,0.0006241520398442719,12.286757799208683,0.007668804943448616,1.932538845749051
2023-06-15,OMC,0.014470148647187096,0.01500933541051466,0.0005752615573743416,0.0008082352171680002,9.027509692633735,0.007296351256912054,1.8386805167418374
2023-06-15,CIEN,0.013962395768770813,0.024268612298175597,0.00034735747938732797,0.00048803286815992666,14.338209445261798,0.006997517479848866,1.7633744049219142
