portfolio,rebalance_frequency,liquidity_filter,cost_bps,weights,annualized_return,annualized_sharpe,max_drawdown,average_daily_turnover,long_turnover,short_turnover,entry_turnover,exit_turnover,hit_rate,net_cumulative_return,n_days
dedup_3f_equal_weight_idio,daily,none,0,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.15273525770950958,0.8153859551232646,-0.3162503270596023,0.26030235163298987,0.10102909055280701,0.15953947011745062,0.130198772418208,0.12980659352625298,0.5074681238615665,3.7033950853370223,2745
dedup_3f_equal_weight_idio,daily,none,5,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.11526112254989385,0.6485556692498385,-0.319881882180736,0.26030235163298987,0.10102909055280701,0.15953947011745062,0.130198772418208,0.12980659352625298,0.49981785063752276,2.281452594264578,2745
dedup_3f_equal_weight_idio,daily,none,10,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.07900018455027102,0.4817396944443913,-0.334836340067424,0.26030235163298987,0.10102909055280701,0.15953947011745062,0.130198772418208,0.12980659352625298,0.49326047358834246,1.2892788117563878,2745
dedup_3f_equal_weight_idio,daily,none,20,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.009962703388115113,0.14816797207702037,-0.3865729932331179,0.26030235163298987,0.10102909055280701,0.15953947011745062,0.130198772418208,0.12980659352625298,0.4808743169398907,0.1140313476798438,2745
dedup_3f_equal_weight_idio,daily,adv20_filtered,0,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.1429617901000002,0.7637235995045852,-0.32681858552044574,0.2666817567498516,0.104004382705504,0.1628911121502154,0.13334965725192818,0.13295166395124242,0.5038251366120219,3.286779523978325,2745
dedup_3f_equal_weight_idio,daily,adv20_filtered,5,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.10490640084864089,0.5953652617948273,-0.3311393217554268,0.2666817567498516,0.104004382705504,0.1628911121502154,0.13334965725192818,0.13295166395124242,0.49690346083788706,1.96441066984569,2745
dedup_3f_equal_weight_idio,daily,adv20_filtered,10,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.06811283946848024,0.42703874227163113,-0.3408264393799275,0.2666817567498516,0.104004382705504,0.1628911121502154,0.13334965725192818,0.13295166395124242,0.4896174863387978,1.0498513590269871,2745
dedup_3f_equal_weight_idio,daily,adv20_filtered,20,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,-0.001854091691437354,0.09049879765191918,-0.4115789049393641,0.2666817567498516,0.104004382705504,0.1628911121502154,0.13334965725192818,0.13295166395124242,0.4739526411657559,-0.020012146759986416,2745
dedup_3f_equal_weight_idio,weekly_5d,none,0,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.13038781178424075,0.7197576826973239,-0.32169587918056397,0.11748283033195747,0.04725428682193985,0.07066264613523165,0.05870506497371866,0.05831842407371203,0.5089318264673715,2.7964417848647782,2743
dedup_3f_equal_weight_idio,weekly_5d,none,5,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.11363256172749625,0.6438707647879757,-0.32340260496163287,0.11748283033195747,0.04725428682193985,0.07066264613523165,0.05870506497371866,0.05831842407371203,0.5041924899744805,2.2268746780543833,2743
dedup_3f_equal_weight_idio,weekly_5d,none,10,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.09712059444014765,0.567956196755271,-0.32525435687505055,0.11748283033195747,0.04725428682193985,0.07066264613523165,0.05870506497371866,0.05831842407371203,0.5005468465184105,1.742619722114628,2743
dedup_3f_equal_weight_idio,weekly_5d,none,20,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.06481272091906454,0.4161318337860598,-0.32894460446130536,0.11748283033195747,0.04725428682193985,0.07066264613523165,0.05870506497371866,0.05831842407371203,0.4947138169886985,0.9809200751843494,2743
