stress_window,start_date,end_date,n_days,n_high_turnover_days,n_high_residual_beta_days_abs_gt_0_4,mean_residual_alpha_pnl,pct_days_high_turnover,pct_days_high_residual_beta
COVID crash,2020-02-19,2020-03-23,24,3,0,-0.0028191710174395456,0.125,0.0
COVID rebound,2020-03-24,2020-06-08,53,3,0,0.0051329659925462325,0.05660377358490566,0.0
2022 rate shock,2022-01-03,2022-10-14,198,25,112,0.0003993013393276938,0.12626262626262627,0.5656565656565656
2023 regional bank stress,2023-03-08,2023-05-01,38,6,0,-4.7613631803413053e-05,0.15789473684210525,0.0
2023 Aug-Oct rates spike,2023-08-01,2023-10-27,63,12,17,-0.0008333030389723874,0.19047619047619047,0.2698412698412698
