window,start_date,end_date,n_days,return,vol,sharpe,max_dd,hit_rate,market_return,beta_to_market,residual_alpha_return,mean_residual_alpha_pnl,mean_rolling_60d_residual_beta,kill_switch_triggered
COVID crash,2020-02-19,2020-03-23,24,-0.02416067014055645,0.25512727498030285,-0.8842810231262717,-0.12272458312129497,0.4583333333333333,-0.3340034487730855,0.06504428640591112,-0.07101115425249993,-0.0028191710174395456,0.11036184915369397,False
COVID rebound,2020-03-24,2020-06-08,53,0.16986468187517612,0.249578278684893,3.115140687220323,-0.086921879326469,0.5283018867924528,0.44965281384101563,0.2223574136681445,0.2967576232986324,0.0051329659925462325,0.19267908250382867,False
2022 rate shock,2022-01-03,2022-10-14,198,0.11926696058561981,0.13321918615297437,1.1429857780266275,-0.06707129913321308,0.4898989898989899,-0.23831342012430135,0.1944685285800271,0.0679425933218154,0.0003993013393276938,0.4325995655393819,False
2023 regional bank stress,2023-03-08,2023-05-01,38,-0.014899009621518133,0.101095753167349,-0.9352784462854916,-0.035663685859046,0.4473684210526316,0.04726885978931672,0.22108538409670622,-0.0025678846260356325,-4.7613631803413053e-05,0.329703938514768,False
2023 Aug-Oct rates spike,2023-08-01,2023-10-27,63,-0.09091974981040274,0.10860177712304832,-3.45452564223999,-0.11694164145062513,0.49206349206349204,-0.09974311617608855,0.09690360495053006,-0.05238701173844795,-0.0008333030389723874,0.37904621242493175,False
