window,start_date,end_date,return,max_dd_in_window,vol,sharpe,beta_to_market_in_window,n_days,kill_switch_triggered
2015 China crash,2015-06-01,2015-09-30,-0.08717529913440059,-0.09978945673785133,0.07034470746429668,-3.762705869868378,0.08553215760263286,86,False
2018 Q4 sell-off,2018-10-01,2018-12-31,0.02905200017116627,-0.021134022267069286,0.08712539386438362,1.3576778392163786,0.07505602468422566,63,False
2020-03 COVID,2020-02-15,2020-04-15,-0.008414143237601257,-0.12272458312129497,0.2549124396233743,-0.07939803676393127,0.09070404310156299,41,False
2022 bear,2022-01-01,2022-12-31,0.10354148081169323,-0.06707129913321308,0.12987392525175803,0.8264043804821493,0.20385088722812536,251,False
2023-10 deep DD,2023-09-15,2023-11-15,-0.007296387348295408,-0.07287488081775728,0.1411695287962438,-0.22790566380256935,0.39428062100488903,44,False
