date,long_short_return,cumulative_return,turnover
2014-01-02,,0.0,
2014-01-03,,0.0,0.0
2014-01-06,,0.0,0.0
2014-01-07,,0.0,0.0
2014-01-08,,0.0,0.0
2014-01-09,,0.0,0.0
2014-01-10,,0.0,0.0
2014-01-13,,0.0,0.0
2014-01-14,,0.0,0.0
2014-01-15,,0.0,0.0
2014-01-16,,0.0,0.0
2014-01-17,,0.0,0.0
2014-01-21,,0.0,0.0
2014-01-22,,0.0,0.0
2014-01-23,,0.0,0.0
2014-01-24,,0.0,0.0
2014-01-27,,0.0,0.0
2014-01-28,,0.0,0.0
2014-01-29,,0.0,0.0
2014-01-30,,0.0,0.0
2014-01-31,,0.0,0.0
2014-02-03,,0.0,0.0
2014-02-04,,0.0,0.0
2014-02-05,0.005389178307868302,0.005389178307868336,0.9999999999999999
2014-02-06,0.0008606507941324895,0.006254467302591271,0.3829787234042553
2014-02-07,0.001505029762974938,0.00776891022500803,0.34042553191489355
2014-02-10,-0.004344935411941053,0.0033902193999182373,0.3404255319148936
2014-02-11,-0.0008411837753248488,0.0025461838270393056,0.3191489361702128
2014-02-12,-0.0039636081385221525,-0.001427516386421912,0.19148936170212766
2014-02-13,0.003826779860320681,0.0023938006829409275,0.2553191489361702
2014-02-14,0.0031944342856851955,0.005595881807600733,0.40425531914893614
2014-02-18,-0.0033798197847150708,0.002197148950839445,0.3617021276595745
2014-02-19,0.006030516477992843,0.00824091537178484,0.276595744680851
2014-02-20,-0.0025169693768217274,0.005703203863335338,0.23404255319148937
2014-02-21,0.001341665824661704,0.007052521481711427,0.40425531914893614
2014-02-24,-0.001887783517818463,0.005151424330080756,0.3829787234042553
2014-02-25,-0.003230534356757935,0.0019042481200381989,0.3191489361702127
2014-02-26,0.004754417866239842,0.006667719577561515,0.44680851063829785
2014-02-27,-0.0029324925301544725,0.0037156740095527496,0.3191489361702127
2014-02-28,0.008203048496141136,0.011949202359790023,0.40425531914893614
2014-03-03,-0.0017054449040605493,0.010223378749457446,0.2553191489361702
2014-03-04,-0.006461400540994965,0.003695920863479918,0.34042553191489355
2014-03-05,-0.0022837979934300177,0.001403682133398032,1.4468085106382977
2014-03-06,-0.006012480593275298,-0.004617238071463414,0.2978723404255319
2014-03-07,-0.0030640903162944435,-0.007667180753294978,0.21276595744680848
2014-03-10,0.0007058135289849277,-0.006966778824214814,0.21276595744680848
2014-03-11,-0.00336588358124583,-0.010309213039002008,0.2553191489361702
2014-03-12,0.0034138071041491256,-0.006930599599563547,0.23404255319148937
2014-03-13,-0.006309261657816832,-0.013196134291061257,0.25531914893617025
2014-03-14,0.0032241902692043446,-0.010014490869629356,0.21276595744680848
2014-03-17,-0.002409847508929997,-0.012400204982684015,0.1702127659574468
2014-03-18,0.008499032543887983,-0.004006562184494689,0.21276595744680848
2014-03-19,-0.002460833133756997,-0.0064575358372755964,0.1276595744680851
2014-03-20,-0.008435194441594096,-0.014838259708468748,0.1702127659574468
2014-03-21,-0.010586274235503793,-0.025267452057521123,0.14893617021276595
2014-03-24,-0.012913929359339483,-0.037855079325899266,0.19148936170212766
2014-03-25,-0.001189234141356479,-0.03899929491449772,0.2127659574468085
2014-03-26,-0.01737140593052363,-0.05569322826205747,0.17021276595744678
2014-03-27,0.006598276916833852,-0.049462430687689185,0.10638297872340424
2014-03-28,-0.00863316661799977,-0.05766857990023089,0.14893617021276595
2014-03-31,0.010659993824545137,-0.047623332781292604,0.17021276595744678
2014-04-01,0.013200272404465911,-0.03505170134234825,0.10638297872340424
2014-04-02,-0.0027830413125865348,-0.03773719232202255,0.1276595744680851
2014-04-03,-0.02316597684079018,-0.06002895023944432,0.1276595744680851
2014-04-04,-0.012442840209147708,-0.07172485981283971,0.19148936170212766
2014-04-07,-0.013077081761251049,-0.0838639897180039,0.14893617021276595
2014-04-08,0.001999169630903223,-0.08203247842847128,0.1276595744680851
2014-04-09,0.020598323485576678,-0.06312388646988787,0.17021276595744678
2014-04-10,-0.025085923999728782,-0.08662628945106554,0.14893617021276595
2014-04-11,-0.009724480705044747,-0.09550837447579374,0.10638297872340424
2014-04-14,-0.00615240694521636,-0.10107317503455893,0.10638297872340424
2014-04-15,-0.0001971480746757832,-0.10125039672737524,0.10638297872340424
2014-04-16,0.01470095318311515,-0.08803792088632112,0.0851063829787234
2014-04-17,0.007388654417215611,-0.08129974824214459,0.08510638297872339
2014-04-21,0.007836927083589277,-0.07409996135744323,0.10638297872340424
2014-04-22,0.02053284393464132,-0.05508860036491725,0.17021276595744678
2014-04-23,-0.0123950885989274,-0.06680086088153059,0.14893617021276595
2014-04-24,-0.006279206535578804,-0.07266061101487975,0.21276595744680848
2014-04-25,-0.0196752820453821,-0.0909062750449543,0.14893617021276595
2014-04-28,-0.021270734596503235,-0.11024336639181953,0.1276595744680851
2014-04-29,0.018158994765872592,-0.09408628033922806,0.2553191489361702
2014-04-30,0.0009549930730191922,-0.09322113901219886,0.19148936170212766
2014-05-01,0.007602511313096492,-0.0863273424630624,0.2127659574468085
2014-05-02,0.0008882801302661778,-0.08551574519580496,0.1702127659574468
2014-05-05,0.003803498210313915,-0.08203750596929693,0.14893617021276595
2014-05-06,-0.017019263070116756,-0.09766055114370598,0.19148936170212766
2014-05-07,-0.017103156399661614,-0.11309340386307964,0.1702127659574468
2014-05-08,-0.010944216097272195,-0.12279990130929819,0.2553191489361702
2014-05-09,0.006769226334868938,-0.11686193530029154,0.1276595744680851
2014-05-12,0.023901242067351967,-0.09575383863701115,0.10638297872340424
2014-05-13,-0.0019053390932881585,-0.09747673419821179,0.10638297872340424
2014-05-14,-0.0009345592855548241,-0.09832019569669614,0.17021276595744678
2014-05-15,-0.0010900256693474823,-0.09930304982891891,0.19148936170212766
2014-05-16,-0.007838082766686722,-0.10636278707206215,0.1702127659574468
2014-05-19,0.003757515757191486,-0.1030049311632728,0.21276595744680848
2014-05-20,-0.005659012360605531,-0.10808103734522201,0.19148936170212766
2014-05-21,0.00021660567903692297,-0.10788784263267026,0.14893617021276595
2014-05-22,0.009436105977365893,-0.09946977777205557,0.10638297872340424
2014-05-23,0.0076663981848028515,-0.09256595451100713,0.1276595744680851
2014-05-27,0.015088141667249276,-0.0788744610789841,0.1276595744680851
2014-05-28,-0.003077941027080121,-0.08170963116632046,0.21276595744680848
2014-05-29,0.002672514116579085,-0.07925548719249387,0.276595744680851
2014-05-30,-0.007705520936888593,-0.08635030331345739,0.2127659574468085
2014-06-02,-0.00829134645799006,-0.09392568948992297,0.21276595744680848
2014-06-03,-0.0025476148241284136,-0.0962340178351404,0.23404255319148934
2014-06-04,0.006105392061271703,-0.0907161721823837,0.276595744680851
2014-06-05,0.012515265752094867,-0.07933624343316414,0.23404255319148937
2014-06-06,0.003074281060445534,-0.07650586428331196,0.276595744680851
