regime,n_days,ann_return,ann_vol,ann_sharpe,max_dd,hit_rate,market_ann_return,beta_to_market
VIX proxy > 25,231,0.11927828759503756,0.1673976700086429,0.7563551175626472,-0.1352243222716889,0.49783549783549785,0.41326177126840147,0.1336648686780979
VIX proxy <= 25,2476,0.039211856861522065,0.09122999005030266,0.4671643189759965,-0.17213599011754588,0.5080775444264943,0.10896670949098075,0.12965041504992875
SPY 20d realized vol top quartile,687,0.24042020220990423,0.13858821639837662,1.6241957432209442,-0.1227245831212952,0.5240174672489083,0.14056104197527874,0.13444552725553943
SPY 20d realized vol bottom quartile,683,0.030759795917702837,0.06483301475586875,0.4996829855126986,-0.08527149779413523,0.5007320644216691,0.2077287963083856,0.09342480897035425
SPY 60d trailing return top quartile,677,0.12968830650607566,0.0956825913923428,1.3224402654330476,-0.10125017929232683,0.5406203840472673,0.5102701910976648,0.10306331635613838
SPY 60d trailing return bottom quartile,677,-0.01762594837939091,0.12880685740258177,-0.0738794836283429,-0.1682851446718402,0.4711964549483013,-0.292155382414676,0.1276365167823564
