date,weight_l1,gross_diff,return_diff_bps,beta_diff
2014-01-02,0.0,0.0,,
2014-01-03,0.0,0.0,,
2014-01-06,0.0,0.0,,
2014-01-07,0.0,0.0,,
2014-01-08,0.0,0.0,,
2014-01-09,0.0,0.0,,
2014-01-10,0.0,0.0,,
2014-01-13,0.0,0.0,,
2014-01-14,0.0,0.0,,
2014-01-15,0.0,0.0,,
2014-01-16,0.0,0.0,,
2014-01-17,0.0,0.0,,
2014-01-21,0.0,0.0,,
2014-01-22,0.0,0.0,,
2014-01-23,0.0,0.0,,
2014-01-24,0.0,0.0,,
2014-01-27,0.0,0.0,,
2014-01-28,0.0,0.0,,
2014-01-29,0.0,0.0,,
2014-01-30,0.0,0.0,,
2014-01-31,0.0,0.0,,
2014-02-03,0.0,0.0,,
2014-02-04,0.0,0.0,,
2014-02-05,0.0,0.0,,
2014-02-06,0.0,0.0,,
2014-02-07,0.0,0.0,,
2014-02-10,0.0,0.0,,
2014-02-11,0.0,0.0,,
2014-02-12,0.0,0.0,,
2014-02-13,0.0,0.0,,
2014-02-14,0.0,0.0,,
2014-02-18,0.0,0.0,,
2014-02-19,0.0,0.0,,
2014-02-20,0.0,0.0,,
2014-02-21,0.0,0.0,,
2014-02-24,0.0,0.0,,
2014-02-25,0.0,0.0,,
2014-02-26,0.0,0.0,,
2014-02-27,0.0,0.0,,
2014-02-28,0.0,0.0,,
2014-03-03,0.0,0.0,,
2014-03-04,0.0,0.0,,
2014-03-05,0.0,0.0,,
2014-03-06,0.0,0.0,,
2014-03-07,0.0,0.0,,
2014-03-10,0.0,0.0,,
2014-03-11,0.0,0.0,,
2014-03-12,0.0,0.0,,
2014-03-13,0.0,0.0,,
2014-03-14,0.0,0.0,,
2014-03-17,0.0,0.0,,
2014-03-18,0.0,0.0,,
2014-03-19,0.0,0.0,,
2014-03-20,0.0,0.0,,
2014-03-21,0.0,0.0,,
2014-03-24,0.0,0.0,,
2014-03-25,0.0,0.0,,
2014-03-26,0.0,0.0,,
2014-03-27,0.0,0.0,,
2014-03-28,0.0,0.0,,
2014-03-31,0.0,0.0,,
2014-04-01,0.326497944950493,0.0,3.2250407042058726,1.0824674490095276e-15
2014-04-02,0.3358366897150761,0.0,5.488873868705491,5.551115123125783e-16
2014-04-03,0.3311441308318587,2.220446049250313e-16,14.965914578792503,2.498001805406602e-16
2014-04-04,0.3516308206120293,4.440892098500626e-16,3.041272655767394,6.938893903907228e-16
2014-04-07,0.36366726269543714,4.440892098500626e-16,10.084656591445087,1.1102230246251565e-16
2014-04-08,0.35801547399172645,0.0,0.22802280732719993,4.0245584642661925e-16
2014-04-09,0.3470170037937312,0.0,1.9788291623600365,1.249000902703301e-16
2014-04-10,0.36902511320379217,0.0,22.280425338900013,9.71445146547012e-17
2014-04-11,0.36149421793769254,4.440892098500626e-16,16.360795523956643,1.8041124150158794e-16
2014-04-14,0.3203381965439239,0.0,8.309430351153635,4.440892098500626e-16
2014-04-15,0.3376854610563842,2.220446049250313e-16,2.3401420712030556,1.942890293094024e-16
2014-04-16,0.3780742575569394,4.440892098500626e-16,21.3149372663488,3.3306690738754696e-16
2014-04-17,0.30734488785409975,0.0,15.461663567279327,1.3322676295501878e-15
2014-04-21,0.32523928530029605,4.440892098500626e-16,17.87088415495642,0.0
2014-04-22,0.08333409381851652,0.0,0.5067483220734005,4.718447854656915e-16
2014-04-23,0.16582361096501663,0.0,8.42737215090793,1.1102230246251565e-16
2014-04-24,0.17053649289619455,4.440892098500626e-16,12.574879599579555,6.938893903907228e-16
2014-04-25,0.13811845491213123,0.0,1.1956795088762135,1.6653345369377348e-16
2014-04-28,0.3180689008975872,0.0,9.247336274343064,6.38378239159465e-16
2014-04-29,0.181249059185241,0.0,30.12327298697229,3.885780586188048e-16
2014-04-30,0.23668099630000838,0.0,8.24049665253638,3.3306690738754696e-16
2014-05-01,0.3235758359852795,4.440892098500626e-16,6.681040485318613,3.3306690738754696e-16
2014-05-02,0.3372550884454763,2.220446049250313e-16,3.8543591876273595,1.1102230246251565e-16
2014-05-05,0.3285939793303585,2.220446049250313e-16,0.1900187159091255,1.1102230246251565e-16
2014-05-06,0.007688581048742992,0.0,0.6304305390943988,2.220446049250313e-16
2014-05-07,0.24609007435278502,0.0,0.47551208695944047,3.885780586188048e-16
2014-05-08,0.2991863437629378,0.0,6.100508002129402,2.220446049250313e-16
2014-05-09,0.31277700935663816,0.0,8.463213609748149,1.6653345369377348e-16
2014-05-12,0.27529158900750417,0.0,8.753242041978012,3.3306690738754696e-16
2014-05-13,0.4256152960571758,2.220446049250313e-16,18.078284258262155,8.049116928532385e-16
2014-05-14,0.46529285504538126,0.0,1.1975053142290097,2.7755575615628914e-17
2014-05-15,0.4547586850362062,0.0,1.0617046969863073,1.2490009027033011e-15
2014-05-16,0.478686447994875,2.220446049250313e-16,10.603226318996532,2.7755575615628914e-17
2014-05-19,0.4783824613994506,2.220446049250313e-16,13.966583670058288,5.273559366969494e-16
2014-05-20,0.5612476440729095,2.220446049250313e-16,18.94140061692767,3.0531133177191805e-16
2014-05-21,0.5861537041575504,2.220446049250313e-16,8.023666224234091,8.326672684688674e-17
2014-05-22,0.5808322375967256,0.0,6.492918236814154,7.771561172376096e-16
2014-05-23,0.6112974794141668,0.0,2.550831612680264,5.551115123125783e-17
2014-05-27,0.5638683857730503,0.0,7.862329520446293,9.71445146547012e-16
2014-05-28,0.4188873205637503,4.440892098500626e-16,19.57150480992303,5.273559366969494e-16
2014-05-29,0.4731409680165494,0.0,7.574863346848431,1.1102230246251565e-16
2014-05-30,0.5326493239586549,4.440892098500626e-16,1.665611380202987,1.1657341758564144e-15
2014-06-02,0.532481183878553,4.440892098500626e-16,3.328285894971233,3.885780586188048e-16
2014-06-03,0.5373828491567676,0.0,25.767023310256324,1.3877787807814457e-17
2014-06-04,0.23213689864132508,4.440892098500626e-16,4.718477334826127,1.3322676295501878e-15
2014-06-05,0.23468084392747351,2.220446049250313e-16,4.368723467489087,7.355227538141662e-16
2014-06-06,0.25427793962097955,0.0,0.0008717144321223474,3.608224830031759e-16
2014-06-09,0.26276860887497655,4.440892098500626e-16,4.171189589117488,1.2073675392798577e-15
2014-06-10,0.33249127834263403,0.0,5.936937218208567,2.220446049250313e-16
2014-06-11,0.05669277870888467,0.0,0.5647000314258286,6.245004513516506e-16
2014-06-12,0.04732131609375578,4.440892098500626e-16,0.5562350121547698,2.220446049250313e-16
2014-06-13,0.041712363287103385,0.0,1.1085526412062987,3.0531133177191805e-16
2014-06-16,0.04663262772063237,0.0,0.6030101075782737,1.0269562977782698e-15
2014-06-17,0.050665377994087706,2.220446049250313e-16,0.8458391066232078,5.273559366969494e-16
2014-06-18,0.09694520134146106,0.0,5.578106347887161,1.2212453270876722e-15
2014-06-19,0.10730359213484511,0.0,3.1410559038920374,1.27675647831893e-15
2014-06-20,0.10211846402083917,4.440892098500626e-16,0.1197634867045245,1.1102230246251565e-15
2014-06-23,0.10717505977614954,4.440892098500626e-16,2.990857995266408,4.440892098500626e-16
2014-06-24,0.10778162878726119,0.0,1.4994724746791215,7.216449660063518e-16
2014-06-25,0.199504474007228,0.0,4.095360633107432,3.0531133177191805e-16
2014-06-26,0.15888774050790233,4.440892098500626e-16,2.1891010731316976,5.551115123125783e-16
2014-06-27,0.13976350207052635,0.0,0.407656058207485,8.326672684688674e-16
2014-06-30,0.140281892054695,0.0,2.3100124961325346,2.498001805406602e-16
2014-07-01,0.13871776081366205,4.440892098500626e-16,0.6726776828530905,5.551115123125783e-17
2014-07-02,0.17236217353150438,4.440892098500626e-16,2.3101949979005942,3.608224830031759e-16
2014-07-03,0.20209316465163385,2.220446049250313e-16,2.3924659596722395,5.828670879282072e-16
2014-07-07,0.1986805712340887,0.0,5.346015652842023,1.6653345369377348e-16
2014-07-08,0.19266966084766024,0.0,3.975280628754907,5.828670879282072e-16
2014-07-09,0.20687532681040116,2.220446049250313e-16,1.2639244656527209,1.6653345369377348e-16
2014-07-10,0.36419092313201856,0.0,3.0982803062521054,8.049116928532385e-16
2014-07-11,0.37862313039663176,4.440892098500626e-16,3.9245562670760497,3.3306690738754696e-16
2014-07-14,0.3558193245462344,4.440892098500626e-16,1.8388188216806223,0.0
2014-07-15,0.269121854357836,0.0,3.396943964693311,2.220446049250313e-16
2014-07-16,0.29703124488907756,4.440892098500626e-16,2.660207998645054,5.551115123125783e-17
2014-07-17,0.25698512522574096,4.440892098500626e-16,0.5039294257132634,3.0531133177191805e-16
2014-07-18,0.2945829813344343,0.0,1.5443487394339135,3.0531133177191805e-16
2014-07-21,0.28713486508078934,2.220446049250313e-16,3.116023174041089,8.326672684688674e-17
2014-07-22,0.30690250372670325,2.220446049250313e-16,3.1141274913659265,8.604228440844963e-16
2014-07-23,0.22706050999244154,0.0,2.0176362232523624,5.828670879282072e-16
2014-07-24,0.13339809129318206,0.0,2.1145589564235685,1.3877787807814457e-16
2014-07-25,0.12750879236928897,0.0,2.538387426314227,3.3306690738754696e-16
2014-07-28,0.14065553805487477,0.0,2.4250721948949656,6.938893903907228e-16
2014-07-29,0.13981087427246872,0.0,7.277145838769927,1.1102230246251565e-16
2014-07-30,0.12453598782824153,4.440892098500626e-16,0.4156959550636035,8.881784197001252e-16
2014-07-31,0.19829461168726656,0.0,1.3417720827770419,2.636779683484747e-16
2014-08-01,0.121293727168862,4.440892098500626e-16,0.44192108288516363,9.71445146547012e-17
2014-08-04,0.16281570590445194,0.0,0.3437063491855625,6.661338147750939e-16
2014-08-05,0.1493538356343806,0.0,1.3659432241521896,7.771561172376096e-16
2014-08-06,0.12102256940341934,0.0,0.3838838713072796,4.163336342344337e-16
2014-08-07,0.29436334351503546,0.0,4.845706570403346,2.7755575615628914e-16
2014-08-08,0.28156328888934157,2.220446049250313e-16,0.25257367195562036,8.604228440844963e-16
2014-08-11,0.30576863974814433,0.0,0.3273571731939257,7.355227538141662e-16
2014-08-12,0.27094280537945487,0.0,4.517844037589469,1.1830814106161824e-15
2014-08-13,0.255969182454181,0.0,0.9531784206985594,9.71445146547012e-17
2014-08-14,0.13359941257093108,4.440892098500626e-16,3.7502488175888513,8.326672684688674e-17
2014-08-15,0.07571520094288592,4.440892098500626e-16,3.2415478484217832,2.0816681711721685e-16
2014-08-18,0.10857838192296412,0.0,2.002730520450852,4.996003610813204e-16
2014-08-19,0.15533990876587292,4.440892098500626e-16,1.4125003190612389,1.0269562977782698e-15
2014-08-20,0.1539908970825905,0.0,1.5132348476572113,4.996003610813204e-16
2014-08-21,6.860831347488272e-16,0.0,0.0,2.220446049250313e-16
2014-08-22,2.0209528495129803e-16,0.0,4.336808689942018e-15,2.7755575615628914e-16
2014-08-25,1.8214596497756474e-16,4.440892098500626e-16,4.336808689942018e-15,0.0
2014-08-26,6.127910678888071e-16,0.0,4.336808689942018e-15,4.163336342344337e-16
2014-08-27,4.34114549863196e-16,0.0,2.168404344971009e-15,5.551115123125783e-16
2014-08-28,0.038698450939386814,8.881784197001252e-16,0.39014772010763454,0.02889078711917356
2014-08-29,0.03836161191141664,0.0,1.124832205282669,0.0289494966276386
2014-09-02,0.038979734699842124,4.440892098500626e-16,2.256754852913425,0.02881327952599455
2014-09-03,9.024898883769339e-16,0.0,3.469446951953614e-14,2.7755575615628914e-16
2014-09-04,6.414140052424244e-16,2.220446049250313e-16,1.734723475976807e-14,1.942890293094024e-16
2014-09-05,0.05037287692549369,2.220446049250313e-16,0.05904131542072526,1.942890293094024e-16
2014-09-08,0.059093903640530625,4.440892098500626e-16,0.39528925604138954,2.7755575615628914e-17
2014-09-09,0.05902796317282066,2.220446049250313e-16,0.6782606715288307,1.3877787807814457e-16
2014-09-10,0.05900571769523198,0.0,0.05821207453727412,2.220446049250313e-16
2014-09-11,0.0589978512017876,4.440892098500626e-16,0.8045189559949262,7.494005416219807e-16
2014-09-12,0.04617513845672453,2.220446049250313e-16,1.046016124208039,6.938893903907228e-16
2014-09-15,0.049344055760026886,6.661338147750939e-16,1.448445789107005,4.440892098500626e-16
2014-09-16,0.061606795416063835,2.220446049250313e-16,0.047739539070640324,9.43689570931383e-16
2014-09-17,0.055367286803488715,1.3322676295501878e-15,0.1020029278917488,4.996003610813204e-16
2014-09-18,0.05858933638024407,2.220446049250313e-16,2.6571020343105993,7.494005416219807e-16
2014-09-19,0.05528618273173606,2.220446049250313e-16,1.671859118465113,7.494005416219807e-16
2014-09-22,0.0675000086511189,4.440892098500626e-16,1.0462141253666548,1.1379786002407855e-15
2014-09-23,0.077268859207747,0.0,1.4857655331616555,3.885780586188048e-16
2014-09-24,0.04421974096909056,4.440892098500626e-16,0.7325880630253719,5.551115123125783e-17
2014-09-25,0.04242154437931872,0.0,0.4734180614917845,2.498001805406602e-16
2014-09-26,0.07127367273687213,4.440892098500626e-16,0.33738690900722657,3.3306690738754696e-16
2014-09-29,0.05826784332033825,2.220446049250313e-16,0.5449366332629761,7.355227538141662e-16
2014-09-30,0.056521265350542055,4.440892098500626e-16,3.0042519826791683,2.220446049250313e-16
2014-10-01,0.058101295806257246,0.0,0.14210860216903962,4.163336342344337e-17
2014-10-02,0.060156085237280964,6.661338147750939e-16,1.7900313301257453,7.632783294297951e-16
2014-10-03,0.04271974764800871,2.220446049250313e-16,1.2602336658703142,5.828670879282072e-16
2014-10-06,0.13515661750766916,0.0,1.0839436833504534,0.02774023053862819
2014-10-07,0.13859901141544037,2.220446049250313e-16,3.9437463572579867,0.02772209852542354
2014-10-08,0.13955038844272016,0.0,1.234333436951865,0.02810849032892007
2014-10-09,0.16728241017260748,2.220446049250313e-16,1.09100392150147,0.027491562977500356
2014-10-10,0.2954469535280929,4.440892098500626e-16,5.473246880598583,1.1102230246251565e-16
2014-10-13,0.4027428292548287,0.0,14.033518275153051,3.0531133177191805e-16
2014-10-14,0.3415131423730869,2.220446049250313e-16,2.6217012733959453,5.828670879282072e-16
2014-10-15,0.3612676694681041,4.440892098500626e-16,15.585876415129896,1.1102230246251565e-16
2014-10-16,0.3461658157095381,0.0,3.0091746657929033,4.3021142204224816e-16
2014-10-17,0.48611185220400965,0.0,9.558928439842608,5.828670879282072e-16
2014-10-20,0.34901655634219536,0.0,12.050815332393956,2.498001805406602e-16
2014-10-21,0.39436376974245957,2.220446049250313e-16,3.9118010059367108,6.661338147750939e-16
2014-10-22,0.24815169887776403,0.0,7.5046648093609365,7.494005416219807e-16
2014-10-23,0.30180162128752125,2.220446049250313e-16,13.184000560151203,1.1102230246251565e-16
2014-10-24,0.08002671744997601,0.0,3.9608668360728703,7.216449660063518e-16
2014-10-27,0.1622606285508984,2.220446049250313e-16,2.7434943556997515,1.3877787807814457e-15
2014-10-28,0.16230533392074187,4.440892098500626e-16,4.07965887320034,7.216449660063518e-16
2014-10-29,0.2358570824468732,0.0,10.76328223589963,9.992007221626409e-16
2014-10-30,0.24157620082411702,2.220446049250313e-16,6.301649253698145,2.220446049250313e-16
2014-10-31,0.12901438906320828,2.220446049250313e-16,1.5924718971619278,7.771561172376096e-16
2014-11-03,0.14284470001624944,4.440892098500626e-16,0.8156520833265454,5.551115123125783e-17
2014-11-04,0.15406695414800067,4.440892098500626e-16,2.5736950948235076,5.551115123125783e-17
2014-11-05,0.15341754798158444,0.0,3.9008089157906154,5.551115123125783e-17
