start_date,trough_date,recovery_date,peak_to_trough,drawdown_duration_days,recovery_duration_days,market_proxy_return_same_window
2015-04-30,2016-02-11,2018-03-12,-0.173214464109555,198,523,0.5766239715737507
2021-03-01,2022-01-27,2022-11-14,-0.17113002640684627,231,201,0.18725812302540423
2020-02-28,2020-03-18,2020-04-29,-0.12272458312129508,13,29,-0.024244629153989505
2023-08-01,2023-10-12,ongoing,-0.11694164145062502,51,,0.26908992240329743
2019-02-19,2019-08-27,2019-12-12,-0.0885000829281769,132,75,0.16193795638615915
