year,variant,annual_return,annual_sharpe,max_drawdown_year,average_turnover_year,include_2020,n_days
2014,V1_raw_fm_weekly_adv20,0.030531150305651122,0.34776291027028516,-0.11959071560071899,0.1046930770825888,False,227
2015,V1_raw_fm_weekly_adv20,-0.11050704640565556,-0.9888337692712675,-0.19335160090010506,0.0947766703580657,False,252
2016,V1_raw_fm_weekly_adv20,0.23518424832066565,1.4779141005727763,-0.11554148182464252,0.09280932246048525,False,252
2017,V1_raw_fm_weekly_adv20,0.147441838969542,1.6216480915938494,-0.07526352780235424,0.10403839188699748,False,251
2018,V1_raw_fm_weekly_adv20,0.012863913959430873,0.16621686166916394,-0.11184128498419477,0.10466819590325566,False,251
2019,V1_raw_fm_weekly_adv20,0.1784643945235307,1.3971080456377785,-0.11218040260092033,0.09744268077601412,False,252
2020,V1_raw_fm_weekly_adv20,0.4710819735872649,1.2291205152865572,-0.31144310455119284,0.10671745813522752,True,253
2021,V1_raw_fm_weekly_adv20,-0.019136216040480325,-0.005252967651458104,-0.1687131905820809,0.09972394755003451,False,252
2022,V1_raw_fm_weekly_adv20,-0.11574805194314741,-0.19597739204764622,-0.22309188671293945,0.08929499393729429,False,251
2023,V1_raw_fm_weekly_adv20,0.4093674844218598,1.98040741425465,-0.11756709660986853,0.09757261794634597,False,250
2024,V1_raw_fm_weekly_adv20,0.024240504370191873,0.23165059636281474,-0.08271354956590904,0.0992063492063492,False,252
2014,V2_beta_neutral_fm_weekly_adv20,0.0022438314335868625,0.07724320348337199,-0.06915024035372064,0.1482326113184365,False,191
2015,V2_beta_neutral_fm_weekly_adv20,-0.08255153186363517,-0.8404257617304295,-0.16914470096394785,0.14659302669757093,False,252
2016,V2_beta_neutral_fm_weekly_adv20,0.1302339304429989,1.1176130142003313,-0.09377922242576853,0.1526712052726411,False,252
2017,V2_beta_neutral_fm_weekly_adv20,0.103213771014395,1.1679771653133137,-0.0935341520255012,0.1432568256927183,False,251
2018,V2_beta_neutral_fm_weekly_adv20,0.06134228949695264,0.6611379497542685,-0.07294031857048655,0.1464590217800388,False,251
2019,V2_beta_neutral_fm_weekly_adv20,0.1303702499624939,1.1969297490066648,-0.10569019695907511,0.15176194129320264,False,252
2020,V2_beta_neutral_fm_weekly_adv20,0.5689631826326347,2.039027688379961,-0.16701974744490888,0.17584715136377038,True,253
2021,V2_beta_neutral_fm_weekly_adv20,-0.029217247416472913,-0.0792691447479302,-0.15964752710520136,0.1416890802786643,False,252
2022,V2_beta_neutral_fm_weekly_adv20,0.20992426592953106,1.1236015928475638,-0.08927031139654296,0.22495853291189502,False,251
2023,V2_beta_neutral_fm_weekly_adv20,0.1884245484754974,1.297638978549546,-0.15017380567272343,0.21570702959595722,False,250
2024,V2_beta_neutral_fm_weekly_adv20,-0.0049861892066569435,0.03703588677575881,-0.1035437292811987,0.1715605774381027,False,252
2014,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.011798065586616557,0.2218802251305595,-0.06126949492172529,0.14858791573259697,False,191
2015,V3_beta_neutral_sector_capped_fm_weekly_adv20,-0.08664558171464132,-0.8862880381323512,-0.17013439819523868,0.14922378827430272,False,252
2016,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.13407035164580283,1.1570014590225153,-0.09505521037570852,0.1619795206127854,False,252
2017,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.11066216753500835,1.2516422462104375,-0.09174280429205028,0.14688035483935205,False,251
2018,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.06474371892414088,0.7066223681273093,-0.07357662276572541,0.15209276521318396,False,251
2019,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.1285116529022059,1.1986904372967746,-0.10674598833634252,0.15814236841117815,False,252
2020,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.5726450430950412,2.0709214183836693,-0.17284054529476778,0.18032026456647607,True,253
2021,V3_beta_neutral_sector_capped_fm_weekly_adv20,-0.02622394665941552,-0.06281858838069551,-0.15814941122491344,0.14449750907823397,False,252
2022,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.16035874510385595,0.9120839555595156,-0.10534068814205355,0.2309733256436482,False,251
2023,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.2103679120726738,1.4401885065097468,-0.13961927475673452,0.22874891709542705,False,250
2024,V3_beta_neutral_sector_capped_fm_weekly_adv20,0.008227082992259493,0.12820972743576495,-0.09082970807553004,0.1809959330060503,False,252
