scenario,removed_factor,kept_factors,factor_count,start_date,end_date,n_days,annualized_return,annualized_sharpe,max_drawdown,average_daily_turnover,hit_rate,delta_sharpe_vs_full,delta_return_vs_full,delta_turnover_vs_full
full,,"short_term_reversal,idiosyncratic_vol,realized_vol,week_52_high",4,2014-02-05,2024-12-31,2745,0.14746506209330712,0.773378095668468,-0.30604372333759733,0.19629464136798105,0.5074681238615665,0.0,0.0,0.0
drop_short_term_reversal,short_term_reversal,"idiosyncratic_vol,realized_vol,week_52_high",3,2014-03-05,2024-12-31,2726,0.1346750058526227,0.723302064652717,-0.34689975002910245,0.08872734046568315,0.512472487160675,-0.05007603101575109,-0.012790056240684411,-0.10756730090229791
drop_idiosyncratic_vol,idiosyncratic_vol,"short_term_reversal,realized_vol,week_52_high",3,2014-02-05,2024-12-31,2745,0.1476777342191704,0.747623903049115,-0.3515329743239851,0.25707449966512985,0.5041894353369764,-0.025754192619353078,0.0002126721258632891,0.0607798582971488
drop_realized_vol,realized_vol,"short_term_reversal,idiosyncratic_vol,week_52_high",3,2014-02-05,2024-12-31,2745,0.15273525770950958,0.8153859551232646,-0.3162503270596023,0.26030235163298987,0.5074681238615665,0.04200785945479657,0.0052701956162024555,0.06400771026500882
drop_week_52_high,week_52_high,"short_term_reversal,idiosyncratic_vol,realized_vol",3,2014-02-05,2024-12-31,2745,0.15184892190023835,0.8399843441658451,-0.30410079685273605,0.20369531524666326,0.5154826958105647,0.06660624849737706,0.004383859806931234,0.007400673878682207
